FUNC __main__.inner_function 26.0312 1409659199.9227 29.8633 1409659199.9749
FUNC __main__.inner_function 31.9023 1409659199.9913 35.5078 1409659200.0423
FUNC __main__.inner_function 35.7148 1409659200.0539 35.7148 1409659200.1054
FUNC __main__.inner_function 35.7148 1409659200.1188 35.7148 1409659200.1683
FUNC __main__.inner_function 35.7148 1409659200.1840 35.7148 1409659200.2345
FUNC __main__.inner_function 35.7148 1409659200.2483 35.7148 1409659200.2986
FUNC __main__.inner_function 35.7148 1409659200.3119 35.7148 1409659200.3621
FUNC __main__.inner_function 35.7148 1409659200.3742 35.7148 1409659200.4233
FUNC __main__.inner_function 35.7148 1409659200.4349 35.7148 1409659200.4850
FUNC __main__.inner_function 35.7148 1409659200.5007 35.7148 1409659200.5548
CMDLINE python some_script2.py
MEM 0.535156 1409659199.6799
MEM 11.929688 1409659199.7802
MEM 21.132812 1409659199.8806
MEM 34.207031 1409659199.9809
MEM 35.714844 1409659200.0813
MEM 36.222656 1409659200.1817
MEM 35.714844 1409659200.2821
MEM 35.714844 1409659200.3824
MEM 35.714844 1409659200.4827
MEM 22.242188 1409659200.5831
